SKU,NAME,ID,pif1,pif2,pif3,pif4,pif5,pif6,pif7,pif8,pif9
AYP-6010-004,Replacement Motor for Duramac 120V Booster Pump,6902,https://www.primosupply.com/images/AY_MCDONALD_LOGO.JPG,,,,,,,,
AYP-6010-009,Replacement Controller for DURAMAC 120V Booster Pump,6903,https://www.primosupply.com/images/AYP-6010-009.jpg,,,,,,,,
AYP-6010-010,Replacement Controller for DURAMAC 230V 15000PC2 Series Pump,6904,https://www.primosupply.com/images/6010-010_clipped_rev_1.jpeg,,,,,,,,
AYP-6010-011,Replacement Motor for Duramac 230V Booster Pump,6905,https://www.primosupply.com/images/AYP-6010-011.jpg,,,,,,,,
AYP-6010-026,Transducer for Duramac Booster Pumps,6906,https://www.primosupply.com/images/AY_MCDONALD_LOGO.JPG,,,,,,,,
AYP-6010-027,"1"" Checkvalve for Duramac Booster Pumps                                                                                 ",6907,https://www.primosupply.com/images/AYP-6010-027.jpg,,,,,,,,
AYP-6010-028,"Pressure Gauge For Duramac Pump 2"" x 100 psi                                                                            ",6908,https://www.primosupply.com/images/AYP-6010-028.jpg,,,,,,,,
AYP-6010-554,Seal Kit for Duramac 20-35 gpm Booster Pumps,6909,https://www.primosupply.com/images/AY_MCDONALD_LOGO.JPG,,,,,,,,
AYP-6010-555,Seal Kit for Duramac 70 gpm Booster Pumps,6910,https://www.primosupply.com/images/AY_MCDONALD_LOGO.JPG,,,,,,,,
AYP-6011-009,Replacement Controller for DURAMAC 230V Booster Pump,6911,https://www.primosupply.com/images/AY_MCDONALD_LOGO.JPG,,,,,,,,
BBQ-GL-CI,Cast Iron Grate Lifter for BBQ Grills,6912,https://www.primosupply.com/images/BBQ-GL-CI.jpg,https://www.primosupply.com/images/BBQ-GL-CI.jpg,,,,,,,
BBQ-MC-PTT-BLK,Premium Talon Tipped Meat Claws BLACK,6913,https://www.primosupply.com/images/BBQ-MC-PTT-BLK%20no%20box.jpg,https://www.primosupply.com/images/BBQ-MC-PTT-BLK.jpg,https://www.primosupply.com/images/BBQ-MC-PTT-BLK%20no%20box.jpg,,,,,,
BBQ-PRRTS,Pepper Roasting Rack Tool Set with Jalapeno Grill Rack & Pepper Corer,6914,https://www.primosupply.com/images/BBQ-PRRTS.jpg,https://www.primosupply.com/images/BBQ-PRRTS.jpg,https://www.primosupply.com/images/BBQ-PRRTS%20box.jpg,,,,,,
BBQ-PTFF-17-RH,"Pigtail Food Flipper, 17"" Right Handed                                                                                  ",6915,https://www.primosupply.com/images/BBQ-PTFF.jpg,https://www.primosupply.com/images/BBQ-PTFF.jpg,,,,,,,
BBQ-SB-MAX-SS,"Smoker Box, Maximum Capacity SS                                                                                         ",6916,https://www.primosupply.com/images/BBQ-SB-MAX-SS.jpg,https://www.primosupply.com/images/BBQ-SB-MAX-SS.jpg,,,,,,,
BGV-BH1.5-R,"Brandguard Vent, Block Hole ""Fireplugs"" 1.5"" Retrofit                                                                   ",6917,https://www.primosupply.com/images/BGV%20Block%20Hole.jpg,,,,,,,,
BGV-BH2-R,"Brandguard Vent, Block Hole ""Fireplugs"" 2"" Retrofit                                                                     ",6918,https://www.primosupply.com/images/BGV%20Block%20Hole.jpg,,,,,,,,
BGV-BH3-R,"Brandguard Vent, Block Hole ""Fireplugs"" 3"" Retrofit                                                                     ",8992,https://www.primosupply.com/images/BGV%20Block%20Hole.jpg,,,,,,,,
BGV-CS02120-FB,"Brandguard Vent, Continuous Soffit 120"" x 2"" Back Flange                                                                ",9011,https://www.primosupply.com/images/bgv.under_eve_vents.jpg,,,,,,,,
BGV-CS02120-FF,"Brandguard Vent, Continuous Soffit 120"" x 2"" Front Flange                                                               ",9012,https://www.primosupply.com/images/bgv.under_eve_vents.jpg,,,,,,,,
BGV-CS02120-H,"Brandguard Vent, Continuous Soffit 120"" x 2"" Hardie Board Flange                                                        ",6919,https://www.primosupply.com/images/bgv.under_eve_vents.jpg,,,,,,,,
BGV-CS02120-PG,"Brandguard Vent, Continuous Soffit 120"" x 2"" Plaster Ground Flange                                                      ",6920,https://www.primosupply.com/images/bgv.under_eve_vents.jpg,,,,,,,,
BGV-CS02120-R,"Brandguard Vent, Continuous Soffit 120"" x 2"" Retrofit                                                                   ",6921,https://www.primosupply.com/images/bgv.under_eve_vents.jpg,,,,,,,,
